站名,省,经纬度,省内火车站数量
清华园站,北京,"116.333229,39.981082",43
昌平北站,北京,"116.227054,40.2300329999999",43
昌平站,北京,"116.187485,40.188802",43
南口站,北京,"116.123338,40.237858",43
官高,北京,"116.303196,40.236446",43
北京东站,北京,"116.478602,39.90151",43
黄村站,北京,"116.326143,39.72019",43
北京站,北京,"116.421034,39.902318",43
云居寺,北京,"115.794296,39.620454",43
孤山口,北京,"115.854867,39.6363369999999",43
平峪,北京,"115.546156999999,39.6654399999999",43
南观村,北京,"115.996829,39.7721639999999",43
上万,北京,"116.036343,39.822108",43
十渡站,北京,"115.583354,39.6462059999999",43
燕山站,北京,"115.95269,39.748942",43
三合庄,北京,"115.706637,39.634739",43
良各庄,北京,"115.931573,39.718152",43
北京南站,北京,"116.372828,39.863505",43
大灰厂,北京,"116.127779,39.858307",43
北京西站,北京,"116.315031,39.8934569999999",43
清河站,北京,"116.308941,40.0403579999999",43
怀柔站,北京,"116.642945999999,40.3159679999999",43
怀柔北站,北京,"116.68667,40.4075679999999",43
庙城,北京,"116.625547999999,40.3000529999999",43
北宅,北京,"116.564708999999,40.342272",43
斜河涧,北京,"116.0583,39.976553",43
三家店站,北京,"116.114195,39.948791",43
安家庄,北京,"115.947993999999,39.9966119999999",43
落坡岭,北京,"115.98053,39.986446",43
雁翅,北京,"115.891685,40.0340599999999",43
珠窝,北京,"115.796521,40.0562979999999",43
沿河城,北京,"115.720419,40.101418",43
密云站,北京,"116.847451,40.394317",43
统军庄,北京,"116.747829,40.3417999999999",43
张辛,北京,"116.680288,40.011048",43
高各庄,北京,"116.618962,40.2578439999999",43
顺义站,北京,"116.63958,40.12478",43
通州西站,北京,"116.621367,39.903368",43
北京北站,北京,"116.348024,39.940907",43
八达岭站,北京,"115.990108,40.357638",43
延庆站,北京,"115.984797,40.4727",43
康庄站,北京,"115.892509,40.3788789999999",43
大兴,北京,"116.326143,39.72019",43
霸州站,河北,"116.370092,39.121706",170
保定东站,河北,"115.595701,38.863534",170
板城,河北,"115.250159999999,39.612848",170
保定站,河北,"115.473619,38.8626009999999",170
徐水站,河北,"115.632238,39.0306849999999",170
泊头站,河北,"116.580935999999,38.0611269999999",170
沧州西站,河北,"116.762051,38.306263",170
东光站,河北,"116.531533,37.898144",170
