名称,经纬度
那曲站,"91.990936,31.442993"
安多站,"91.66742,32.250636"
古露站(建设中),"91.620936,30.828407"
拉萨站,"91.070434,29.623017"
当雄站,"91.106599,30.472104"
羊八井站,"90.540362,30.102867"
协荣站,"90.916289,29.388728"
尼木站,"90.28378,29.328144"
曲水县站,"90.697773,29.350344"
堆龙德庆马乡站,"90.721112,29.89582"
日喀则站,"88.91482,29.220966"
羊八林站,"90.631515,30.221677"
宁中乡站,"90.940517,30.392793"
扎加藏布站,"91.525592,32.733864"
日喀则货运站,"88.900326,29.220178"
贡嘎站(建设中),"91.03984,29.287795"
仁布站,"89.814583,29.310356"
仁布站,"89.814583,29.310356"
乌鲁木齐站,"87.529002,43.840213"
哈密站,"93.5059,42.850495"
乌鲁木齐南站,"87.58512,43.780072"
哈密南站,"93.456028,42.772049"
奎屯站,"84.900179,44.403616"
吐鲁番站,"88.874595,43.150704"
库尔勒站,"86.196425,41.74765"
喀什站,"76.047967,39.492952"
乌西站,"87.422735,43.869655"
阿克苏站,"80.30608,41.144762"
库车站,"83.017971,41.694242"
石河子站,"86.062093,44.268171"
鄯善站,"90.48266,43.097982"
鄯善北站,"90.196223,42.918649"
阿拉山口站,"82.57334,45.17096"
鱼儿沟站,"87.888546,42.836064"
伊宁站,"81.277732,43.967034"
巴楚站,"78.549659,39.835549"
博乐站,"82.650917,44.932106"
阿图什站,"76.222317,39.720191"
沙湾县站,"85.609235,44.321948"
精河南站,"82.92132,44.605774"
焉耆站,"86.545616,42.075357"
伊宁东站,"81.502829,43.955211"
吐鲁番北站,"89.111053,43.023129"
和田站,"79.90688,37.15774"
尼勒克站,"82.049367,43.966555"
乌苏站,"84.718729,44.408778"
精河站,"83.025693,44.636188"
北屯市站,"87.759554,47.323794"
盐湖西站,"88.091075,43.442867"
盐湖站,"88.110827,43.420492"
金银川站,"79.839668,40.708356"
布列开站,"81.795334,43.899737"
喀拉玉尔滚站,"80.822013,41.309302"
三坪站,"87.317206,43.91664"
达坂城站,"88.298651,43.35577"
新和站,"82.61874,41.575034"
后沟站,"88.397061,43.259201"
柳树沟站,"87.881146,43.6375"
柯坪站,"79.607337,40.589939"
羊塔克库都克站,"81.53303,41.406399"
阿克陶站,"75.975715,39.167318"
奎屯东站,"85.021491,44.378229"
霍尔果斯站,"80.456816,44.157319"
头堡站,"93.192134,42.965619"
莎车站,"77.232959,38.374503"
墨玉站,"79.732841,37.223236"
泽普站,"77.307831,38.178319"
煤窑沟站,"89.323354,43.155841"
莎车站,"77.232959,38.374503"
墨玉站,"79.732841,37.223236"
泽普站,"77.307831,38.178319"
煤窑沟站,"89.323354,43.155841"
博尔塔拉站,"82.112878,44.902564"
双河市站,"82.414441,44.904553"
地窝堡站,"87.50626,43.894382"
铁门关站,"85.696722,41.874634"
库车西站,"82.851574,41.698075"
天湖站,"94.504389,41.642187"
二十里店站,"88.231577,43.37328"
吐哈站,"90.531079,43.061308"
霍城站,"80.83886,44.058856"
伊宁东站(北进站口),"81.502593,43.954992"
皮山站,"78.284942,37.565086"
红层南站,"92.065758,43.12845"
轮台站,"84.121804,41.861103"
大河沿站,"88.798578,43.130885"
夏普吐勒站,"88.987087,43.167732"
阿拉山口站(西进站口),"82.572914,45.170993"
红山口站,"90.346309,43.095978"
头道河站,"88.765417,43.193319"
天山站,"88.535463,43.207887"
翆岭站,"94.175858,42.027746"
淖毛湖站,"95.056523,43.63663"
五道班站,"77.972639,39.928854"
伊宁站(西南进站口),"81.277971,43.967307"
尾亚站,"94.359027,41.788414"
铁泉站,"88.699054,43.127596"
牙哈站,"83.289175,41.761035"
云崖站,"86.226625,41.774768"
烟墩站,"94.012115,42.291205"
雅子泉站,"92.531495,43.073225"
红柳河南站,"94.695561,41.529785"
布列开站(南出站口),"81.795169,43.899458"
塔什店站,"86.330973,41.830264"
塔城站,"82.987046,46.697586"
了墩北站,"92.185469,43.112709"
包尔海站,"86.460004,42.003047"
红旗村站,"93.730813,42.55217"
阿拉沟站,"87.325537,42.838402"
阿拉山口站(西出站口),"82.57306,45.170898"
和什托洛盖站,"86.275124,46.408386"
呼图壁大丰站,"86.631999,44.174646"
鄯善北站(南出站口),"90.195403,42.918515"
库车站(西北出站口),"83.01678,41.694689"
鄯善北站(南进站口),"90.195762,42.91855"
红旗坎站,"90.822815,43.167274"
额敏站,"83.590384,46.560982"
八盘磨站,"76.762198,39.85295"
铁厂沟站,"84.387977,46.172445"
克拉玛依站,"84.894711,45.528837"
和硕站,"86.876601,42.303549"
三葛庄站,"87.795578,43.589056"
精河南站(西北出站口),"82.921332,44.606512"
伊宁站(西南出站口),"81.277719,43.967036"
库尔楚站,"85.391439,41.963245"
沙河沿站,"87.586688,43.971924"
精河南站(西北进站口),"82.921163,44.605796"
